Razão Social,CNPJ,Linhas de Fornecimento,Tipo,Situação Documento,Documento,Status,Data de Vencimento,Situação Análise Documento
ALPES ENGENHARIA LTDA,04812571000181,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,IRREGULAR,CND Federal,A vencer,2026-12-21T00:00:00Z,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,REGULAR,Cartão CNPJ,A vencer,2027-06-24T00:00:00Z,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,REGULAR,Certidão Negativa de Débitos Trabalhistas,A vencer,2026-12-21T00:00:00Z,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,IRREGULAR,Comprovante de Inscrição Sintegra,A vencer,2027-06-24T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,CERTIDÃO JUDICIAL CRIMINAL - TRF,A vencer,2026-09-22T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,CERTIDÃO JUDICIAL CÍVEL - TRF,A vencer,2026-09-22T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,ALERTA,CERTIDÃO NEGATIVA RECEITA ESTADUAL,A vencer,,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,CERTIFICADO DE REGULARIDADE FGTS,A vencer,2026-07-14T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,IRREGULAR,CND Federal,A vencer,2026-12-21T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,Cartão CNPJ,A vencer,2027-06-24T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,Certidão Negativa de Débitos Trabalhistas,A vencer,2026-12-21T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,ALERTA,Comprovante de Inscrição Sintegra,A vencer,,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,ALERTA,IBAMA - Certidão Negativa de Débitos,A vencer,,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,REGULAR,IBAMA - Certidão Negativa de Embargos,A vencer,2026-07-24T00:00:00Z,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,ALERTA,IBAMA - Consulta de Regularidade,A vencer,,NÃO ANALISADO
