Razão Social,CNPJ,Situação da Última Solicitação,Linhas de Fornecimento,Tipo,Situação Documento,Documento,Marcas e Representações,Status,Data de Vencimento,Situação Análise Documento
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,Laudo de insalubridade,12/25 - Dezembro 2025,A vencer,2027-03-27T00:00:00-04:00,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,PCMSO,04/26 - Abril 2026,A vencer,2027-03-27T00:00:00-04:00,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,PGR,04/26 - Abril 2026,A vencer,2027-03-24T00:00:00-04:00,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO,,N/A,,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,SESMT - composição de acordo com NR 04,,N/A,,REPROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,Seguro de Responsabilidade Civil,,N/A,,APROVADO
ADAPTIVA ENGENHARIA E CONSTRUCAO LTDA,29132851000170,APROVADO,PRESTAÇÃO DE SERVIÇOS DE REFORMA TERMINAL,SERVICO,NEUTRO,Seguro garantia,04/26 - Abril 2026,A vencer,2026-07-27T00:00:00-04:00,APROVADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,Avaliação ergonômica,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,CERTIDÃO JUDICIAL CRIMINAL - TRF,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,CERTIDÃO JUDICIAL CÍVEL - TRF,,Não anexado,,NÃO ANALISADO
